==Пиротехника==
Особые химикаты, которые зачастую срабатывают сразу же при смешивании, предоставляя различные эффекты на окружении.
{| class="wikitable sortable"
! style="background-color:#FFEE88;" |{{anchor|Cryostylane}}Cryostylane <span style="color:#0000DC;background-color:white">▮</span>
|1 part Water<br>1 part Stable Plasma<br>1 part Nitrogen
|При первоначальной реакции охлаждается до 20К. Постепенно потребляет весь жидкий кислород в контейнере и охлаждает его. Эффект не зависит от количества Cryostylane - одна единица работает также, как 50. Не реагирует с воздухом в атмосфере. Внутри организма каждый тик потребляет 0.5 единицы кислорода и охлаждает тело на 15К.
|0.5 units за тик
|-
! style="background-color:#FFEE88;" |{{anchor|Chlorine Trifluoride}}Chlorine Trifluoride <span style="color:#FFFB89;background-color:white">▮</span>
|{{RecursiveChem/Chlorine Trifluoride}}
|Во время реакции создает огненный шар размером 3х3. В начале реакции разогревается до 1000К. Легковоспламеняющаяся субстанция, которая при достаточно количестве может мгновенно расплавить пол и его основание. Воспламеняет всё, к чем прикасается, а при употреблении внутрь наносит 6 единиц ожогов каждый тик, но быстро выводится из организма.
|4 units за тик
|-
! style="background-color:#FFEE88;" |{{anchor|Sorium}}Sorium <span style="color:#5A64C8;background-color:white">▮</span>
|1 part Mercury<br>1 part Oxygen<br>1 part Nitrogen<br>1 part Carbon
|При детонации отталкивает все объекты и людей от точки взрыва.
Может быть стабилизировано при помощи [[#Stabilizing Agent|Stabilizing Agent]]. Стабилизированное вещество требуется разогреть до 474К для активации.
|0.4 units за тик
|-
! style="background-color:#FFEE88;" |{{anchor|Liquid Dark Matter}}Liquid Dark Matter <span style="color:#210021;background-color:white">▮</span>
|{{RecursiveChem/Liquid Dark Matter}}
|При детонации засасывает людей и объекты в точку взрыва.
Может быть стабилизировано при помощи [[#Stabilizing Agent|Stabilizing Agent]]. Стабилизированное вещество требуется разогреть до 474К для активации.
|0.4 units за тик
|-
! style="background-color:#FFEE88;" |{{anchor|Meth Explosion}}Meth Explosion <span style="color:#FAFAFA;background-color:white">▮</span>
|{{RecursiveChem/Meth Explosion}}
|Реагенты по умолчанию имеют температуру 300К, таким образом вещество мгновенно взрывается, если компоненты не были заранее охлаждены. Не может взорваться внутри тела. Имеет силу взрыва равную 0.083 с модификатором равным 5. В результате реакции получается 5u, вместо 7u.
|N/A
|-
! style="background-color:#FFEE88;" |{{anchor|Gunpowder}}Gunpowder <span style="color:#000000;background-color:white">▮</span>
|1 part Saltpetre<br>1 part Charcoal<br>1 part Sulfur
|Если разогреть до 474К вспыхивает, а затем взрывается с задержкой в 5-10 секунд. Вызывает галлюцинации и одурманенность внутри плазмалюдей. Имеет силу взрыва равную 0.1 и модификатор равный 5.
|0.4 units за тик
|-
! style="background-color:#FFEE88;" |{{anchor|Nitroglycerin}}Nitroglycerin <span style="color:#808080;background-color:white">▮</span>
|
{{RecursiveChem/Nitroglycerin}}
|Тяжелая, бесцветная, маслянистая, взрывоопасная жидкость, получаемая нитрацией глицерина. Взрывается сразу же при смешивании (получается 2u вместо 3u). Может быть стабилизирована с помощью стабилизирующего реагента. Если стабилизирован, нагрейте до 474K для активации.
|0.4 units за тик
|-
! style="background-color:#FFEE88;" |{{anchor|Explosion}}Explosion
|{{RecursiveChem/Explosion}}
|Взрывается мгновенно при смешивание. Полезно при изготовлении гранат. Имеет силу взрыва равную 0.05.
|N/A
|-
! style="background-color:#FFEE88;" |{{anchor|Holy Explosion}}Holy Explosion
|{{RecursiveChem/Holy Explosion}}
|Взрывается мгновенно при смешивании. Если задействовано хотя бы по 75 единиц каждого вещества, сила взрыва увеличивает до 0.125, вызывая при этом паралич у ревенанта и делает его видимым, также воспламеняет культистов. В противном случае она ведет также, как смесь [[#Explosion|калия с водой]].
|N/A
|-
! style="background-color:#FFEE88;" |{{anchor|EMP}}EMP
|{{RecursiveChem/EMP}}
|При смешивании мгновенно создает область электромагнитного импульса, который воздействует на всю электронику вокруг. Действует по-разному на разные объекты: выключает наушники, оглушает киборгов, отключает камеры, нарушает работу имплантов, переключает датчики костюмов в случай режим, подает случайные импульсы на провода, и многое другое.
|N/A
|-
! style="background-color:#FFEE88;" |{{Anchor|Teslium}}Teslium
|
{{RecursiveChem/Teslium}}
|Случайным образом бьет жертву током каждые 5-30 секунд, пока находится внутри организма, игнорирует любую защиту от электричества (т.к. находится внутри). Также увеличивает урон от обычного поражения током. Если разогреть вещество до 474К, получается [[#Teslium Shock|Teslium Shock]].
|0.5 units за тик
|-
! style="background-color:#FFEE88;" |{{anchor|Teslium Shock}}Teslium Shock <span style="color:#FFFFFF;background-color:white">▮</span>
|
{{RecursiveChem/Teslium Shock}}
|Действует мгновенно при смешивании. Создает электрические разряды, которые бьет всех недалеко от центра реакции, поражая жертв электричеством, а также воздействует на электронику. Количество теслиума опеределяет урон и число создаваемых разрядов. 10 единиц вещества создают 1 разряд, 40 единиц - 2 разряда, 75 единиц - 3. Каждый последующий разряд наносит больше урона, чем предыдущий.
|N/A
|-
! style="background-color:#FFEE88;" |{{anchor|Thermite}}Thermite <span style="color:#550000;background-color:white">▮</span>
|1 part Aluminium<br>1 part Iron<br>1 part Oxygen
|Смесь, которая прожигает стены или пол, если разлить и поджечь. Необходимое для этого количество вещества зависит от цели. Обычная стена требует 30 единиц, усиленная - 50. Каждая единица термита горит 0.35 секунды и максимальная длительность горения равна 20 секундам. Огонь - это чисто косметический эффект. Не работает на двери и окна. Наносит 1 единицу урона ожогами при переваривании.
|0.4 units за тик
|-
! style="background-color:#FFEE88;" |{{anchor|RDX}}RDX <span style="color:#FFFFFF;background-color:white">▮</span>
|
{{RecursiveChem/RDX}}
|Военная взрывчатка. Мгновенно взрывается, если не стабилизирована при помощи [[#Stabilizing Agent|Stabilizing Agent]]. Если вещество стабилизировано, то его необходимо нагреть до 474К, либо смешать с таким же количеством [[#Liquid Electricity|Liquid Electricity]] или [[#Teslium|Teslium]]. Имеет силу взрыва равную 0.143 или 0.286, если активировано при помощи электричества. Дополнительно, если вещество активировано электричеством, вызывает пожар, имеет модификатор равный 4 или 6, если активировано при помощи [[#Teslium|Teslium]]. Таким образом 200 единиц RDX также может равняться 100 единицам его же + 100 [[#Teslium|Teslium]]. В результате получается 1u, вместо 4u.
|N/A
|-
! style="background-color:#FFEE88;" |{{anchor|TaTP}}TaTP <span style="color:#FFFFFF;background-color:white">▮</span>
|
{{RecursiveChem/TaTP}}
|Суицидальная взрывчатка. Формируется и мгновенно детонирует при случайной температуре между 401К и 499К. Может быть стабилизировано при помощи [[#Stabilizing Agent|Stabilizing Agent]]. Если стабилизирована, взрывается при случайной температуре между 501К и 599К. Чем больше вещества взорвано, тем больше сила взрыва при максимуме силы в 0.67 при 2100 единиц вещества. В результате получается 1u, вместо 3u.
|N/A
|-
! style="background-color:#FFEE88;" |{{anchor|Hell Ramen}}Hell Ramen <span style="color:#302000;background-color:white">▮</span>
|{{RecursiveChem/Hell Ramen}}
|The noodles are boiled, the flavors are artificial, just like being back in school.
|0.2 units за тик
|N/A
|N/A
|-
! style="background-color:#FFEE88;" |{{anchor|BBQ Sauce}}BBQ Sauce <span style="color:#78280A;background-color:white">▮</span>
|{{RecursiveChem/BBQ Sauce}}
|Sweet, smoky, savory, and gets everywhere. Perfect for grilling.
|0.2 units за тик
|N/A
|N/A
|-
! style="background-color:#FFEE88;" |{{anchor|Chlorine Trifluoride}}Chlorine Trifluoride <span style="color:#FFFB89;background-color:white">▮</span>
|{{RecursiveChem/Chlorine Trifluoride}}
|Makes a temporary 3x3 fireball when it comes into existence, so be careful when mixing. ClF3 applied to a surface burns things that wouldn't otherwise burn, including typically-robust flooring, potentially exposing it to the vacuum of space.
|0.2 units за тик
|N/A
|N/A
|-
! style="background-color:#FFEE88;" |{{anchor|Smoke Powder}}Smoke Powder <span style="color:#C8C8C8;background-color:white">▮</span>
|{{RecursiveChem/Smoke Powder}}
|Makes a large cloud of smoke that can carry reagents.
|0.2 units за тик
|N/A
|N/A
|-
! style="background-color:#FFEE88;" |{{anchor|Dense Smoke Powder}}Dense Smoke Powder <span style="color:#C8C8C8;background-color:white">▮</span>
|{{RecursiveChem/Dense Smoke Powder}}
|Makes a large cloud of thick smoke that can carry reagents.
|0.2 units за тик
|N/A
|N/A
|-
! style="background-color:#FFEE88;" |{{anchor|Firefighting Foam}}Firefighting Foam <span style="color:#A6FAFF55;background-color:white">▮</span>
|{{RecursiveChem/Firefighting Foam}}
|A historical fire suppressant. Originally believed to simply displace oxygen to starve fires, it actually interferes with the combustion reaction itself. Vastly superior to the cheap water-based extinguishers found on NT vessels.
|0.2 units за тик
|N/A
|N/A
|-
! style="background-color:#FFEE88;" |{{anchor|Whiskey}}Whiskey <span style="color:#664300;background-color:white">▮</span>
|{{RecursiveChem/Whiskey}}
|A well-aged whiskey.
|0.2 units за тик
|N/A
|N/A
|-
! style="background-color:#FFEE88;" |{{anchor|The Shortstop}}The Shortstop <span style="color:#664300;background-color:white">▮</span>
|{{RecursiveChem/The Shortstop}}
|Beer and ale, brought together in a very grain-flavored mix.
|0.2 units за тик
|N/A
|N/A
|-
! style="background-color:#FFEE88;" |{{anchor|Bullet Hell}}Bullet Hell <span style="color:#c33206;background-color:white">▮</span>
|{{RecursiveChem/Bullet Hell}}
|An incredibly potent combination drink and fire hazard, typically served in a brass shell casing. May spontaneously combust.
|0.2 units за тик
|N/A
|N/A
|}
